종목명,종목코드,탐지가,넥라인,목표가,머리깊이,대칭성,넥라인돌파,A_진입가,A_청산가,A_수익률,A_결과,B_진입가,B_청산가,B_수익률,B_결과
삼성전자,005930,60800,61700,70900,11.5,98.5,O,60800,70900,16.6,목표달성,68900.0,70900.0,2.9,목표달성
SK하이닉스,000660,196900,213750,264800,15.1,95.0,O,196900,264800,34.5,목표달성,258000.0,264800.0,2.6,목표달성
현대차,005380,210000,231000,282700,12.0,94.0,O,210000,282700,34.6,목표달성,242000.0,282700.0,16.8,목표달성
기아,000270,100800,108100,130000,11.2,92.3,O,100800,130000,29.0,목표달성,111300.0,130000.0,16.8,목표달성
셀트리온,068270,171300,187301,228966,12.2,93.7,O,171300,218500,27.6,기간종료,195100.0,220000.0,12.8,기간종료
삼성물산,028260,122400,138450,164500,10.4,90.8,O,122400,164500,34.4,목표달성,161700.0,164500.0,1.7,목표달성
신한지주,055550,59000,59300,74200,20.0,91.4,O,59000,74200,25.8,목표달성,65100.0,74200.0,14.0,목표달성
한화오션,042660,32250,37275,48450,12.8,91.5,O,32250,48450,50.2,목표달성,117400.0,48450.0,-58.7,목표달성
POSCO홀딩스,005490,290500,339500,449000,17.3,91.4,O,290500,261450,-10.0,손절,352500.0,359500.0,2.0,기간종료
LG화학,051910,290000,317000,419500,22.6,93.0,O,290000,419500,44.7,목표달성,339000.0,419500.0,23.7,목표달성
삼성전기,009150,135900,143200,170200,11.0,97.1,O,135900,170200,25.2,목표달성,143300.0,170200.0,18.8,목표달성
에코프로,086520,47700,53450,65900,13.2,98.2,O,47700,65900,38.2,목표달성,54500.0,49050.0,-10.0,손절
포스코퓨처엠,003670,137100,153088,210699,28.6,95.7,O,137100,210699,53.7,목표달성,162900.0,146610.0,-10.0,손절
에코프로비엠,247540,107300,121100,161100,25.6,96.8,O,107300,161100,50.1,목표달성,124500.0,112050.0,-10.0,손절
알테오젠,196170,372500,408000,500500,12.2,93.6,O,372500,500500,34.4,목표달성,422000.0,500500.0,18.6,목표달성
KT&G,033780,115700,117450,140300,13.0,91.7,O,115700,140300,21.3,목표달성,129100.0,140300.0,8.7,목표달성
한미반도체,042700,93900,110000,161800,38.8,95.1,O,93900,84510,-10.0,손절,119100.0,161800.0,35.9,목표달성
SK이노베이션,096770,102000,115100,149400,16.7,90.9,O,102000,108200,6.1,기간종료,116000.0,104400.0,-10.0,손절
현대글로비스,086280,135200,142100,179700,19.1,93.1,O,135200,179700,32.9,목표달성,147000.0,179700.0,22.2,목표달성
LG전자,066570,75000,83150,98000,10.5,96.6,O,75000,98000,30.7,목표달성,84300.0,98000.0,16.3,목표달성
LG,003550,75100,81500,104700,18.5,90.1,O,75100,91400,21.7,기간종료,83100.0,89700.0,7.9,기간종료
삼성에스디에스,018260,132700,134200,159400,13.3,94.9,O,132700,159400,20.1,목표달성,152500.0,159400.0,4.5,목표달성
삼천당제약,000250,192100,224500,305300,21.6,91.4,O,192100,305300,58.9,목표달성,227000.0,204300.0,-10.0,손절
DB손해보험,005830,98300,100850,124200,17.4,93.2,O,98300,124200,26.3,목표달성,122500.0,124200.0,1.4,목표달성
포스코인터내셔널,047050,47700,59450,80000,19.2,95.6,O,47700,63900,34.0,기간종료,59800.0,53820.0,-10.0,손절
S-Oil,010950,61200,64650,79300,13.0,93.7,O,61200,79300,29.6,목표달성,64800.0,79300.0,22.4,목표달성
현대오토에버,307950,148700,172500,230700,19.5,91.4,O,148700,230700,55.1,목표달성,175600.0,158040.0,-10.0,손절
