종목명,종목코드,현재가,시가총액,패턴상태,어깨대칭성,넥라인가격,목표가,손절가,예상수익률,신뢰도점수,일평균거래대금,패턴기간,머리대비상승,넥라인상승여력,머리깊이,시간대칭성,넥라인기울기,왼쪽어깨idx,머리idx,오른쪽어깨idx,왼쪽어깨가격,머리가격,오른쪽어깨가격
펩트론,087010,247500,5771044125000,초기진입,93.2,362500,477500,247500,92.9,81.5,88090008325,64,0.0,46.5,13.1,68.4,18.0,135,173,199,275000,247500,294500
씨앤씨인터내셔널,352480,34100,464779624100,상승중,99.5,48650,70200,27100,105.9,77.1,1706232640,63,25.8,42.7,15.1,50.0,3.8,26,47,89,31850,27100,32000
풍산,103140,107400,3009807457200,상승중,93.9,140750,190100,91400,77.0,68.6,53719829455,114,17.5,31.1,13.2,81.0,-1.1,136,199,250,108500,91400,102100
유한양행,000100,104800,8347068584800,초기진입,96.1,137100,173700,100500,65.7,77.4,47901323730,200,4.3,30.8,11.5,55.0,-1.0,24,95,224,115800,100500,111400
LIG넥스원,079550,427000,9394000000000,상승중,92.5,557500,755000,360000,76.8,71.3,79932365800,77,18.6,30.6,13.3,71.1,7.6,173,205,250,430500,360000,399500
SKC,011790,107600,4074628864800,상승중,91.7,138750,188100,89400,74.8,67.6,38190676410,181,20.4,28.9,21.3,52.1,-0.4,26,145,207,118300,89400,108900
에스엠,041510,105400,2413100326000,초기진입,92.2,134800,173600,96000,64.7,80.6,23146678695,65,9.8,27.9,13.4,66.7,8.7,174,200,239,115100,96000,106500
엔켐,348370,75300,1645315240800,상승중,95.5,96000,131300,60700,74.4,77.0,41205322255,62,24.1,27.5,19.5,67.6,20.7,188,225,250,77100,60700,73700
HLB,028300,50700,6747239249400,초기진입,96.0,63950,83800,44100,65.3,81.5,82864640060,144,15.0,26.1,10.0,54.8,17.9,106,199,250,48050,44100,50000
엘앤에프,066970,113800,4579281729200,상승중,94.4,141250,190000,92500,67.0,69.2,87706616145,64,23.0,24.1,17.7,60.0,-0.5,186,226,250,115500,92500,109200
JYP Ent.,035900,68300,2426869203600,초기진입,94.3,84150,105600,62700,54.6,75.0,33198602020,82,8.9,23.2,10.9,51.9,-9.8,146,200,228,72400,62700,68400
카페24,042000,34350,833092404900,초기진입,90.4,42275,54200,30350,57.8,75.3,8249908077,114,13.2,23.1,13.0,83.9,-7.6,136,198,250,36550,30350,33200
대주전자재료,078600,71500,1106862399500,초기진입,91.3,87250,108500,66000,51.7,71.8,22182699375,141,8.3,22.0,10.6,51.6,-0.6,47,95,188,77000,66000,70600
윤성에프앤씨,372170,32650,260515917200,상승중,90.5,39625,51750,27500,58.5,69.4,1296167242,61,18.7,21.4,17.2,52.5,7.2,189,229,250,34800,27500,31650
파크시스템스,140860,244000,1707140388000,상승중,93.7,296250,387500,205000,58.8,73.1,17524030375,87,19.0,21.4,16.6,61.1,18.6,163,217,250,253500,205000,238000
에이직랜드,445090,30250,330501154500,초기진입,97.6,36700,45550,27850,50.6,78.9,4600288237,82,8.6,21.3,10.5,60.8,-4.3,26,77,108,30750,27850,31500
알테오젠,196170,361000,19315589468000,초기진입,95.5,438000,560500,315500,55.3,78.8,561146885675,74,14.4,21.3,13.0,68.2,-9.4,27,71,101,354500,315500,371000
SK이노베이션,096770,106200,17953406085600,초기진입,98.2,128750,158000,99500,48.8,86.0,54962689840,94,6.7,21.2,10.2,77.4,16.0,113,166,207,109800,99500,111800
SK디스커버리,006120,52000,954088460000,초기진입,92.0,62550,77850,47250,49.7,83.0,2216469485,98,10.1,20.3,12.1,100.0,20.2,125,174,223,51600,47250,55900
한진칼,180640,110400,7370555601600,상승중,97.0,132750,172400,93100,56.2,75.8,11729343805,126,18.6,20.2,12.1,77.5,11.6,124,195,250,104300,93100,107500
